"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.59197006924308","3.10843920500336","3.96254301219474","5.76986990463084","5.61485981621823","3.82233511678332","5.30031405765243","6.28797536126895","3.37583749127457","3.25948642303557","3.70423775271973","6.59295050184228","2.19006066092493","1.02758253884063","-2.82482461011597","4.4466037644241","3.03079849433546","2.81721365536811","5.06249126984655","3.48522647295395","5.15793661182397","4.26406334686595","1.70383781144128","-1.21664207022754","4.01181416993168","0.168847373421684","-1.9867549668874","2.33510856206473","2.53159203921001","-1.38971311410744","-1.75393532953404","0.65831761028133","2.99671224813551","-5.58888895935915","2.2160166077412","",
"Africa Eastern and Southern","AFE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","1.93394652607388","0.599020608106841","3.00393350819306","3.90597769120897","3.4323356565736","4.12004653533484","2.03924607417171","3.39737536562789","5.36187983493693","4.69053537939482","4.12617422780368","10.4514484041189","12.2244749029127","13.9445149904329","12.0995855536019","10.1095397022797","10.2564839551274","10.751800603052","15.1807299323366","22.0265651545418","10.8530772679157","7.69747177597071","11.556841727952","11.1505445547794","16.1443312605572","13.5092841878993","11.7357835170852","20.0811009249169","14.7982343633476","11.9263048389071","12.5319618961838","14.2531376764685","13.3768641263433","10.970426743749","12.8165184306103","14.4531114060499","9.01894074585519","8.78570685182918","8.00681329656179","11.117305882147","8.62998398922237","9.45926497236815","8.11271176099276","9.83959058912539","7.40752901026004","8.59255310013562","8.25957019749005","11.4630399672945","7.89982295078838","6.12843243160444","9.43027047205072","6.99201628115405","5.84411140067347","5.74331393679449","5.36646229778501","6.40090045368644","5.21743086615295","3.9803912773044","4.74100765491518","4.93853603506985","6.06286239231839","8.75294016481439",
"Afghanistan","AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.655238211175","11.2714320712639","10.9127735539374","7.19975128908025","22.5277561997899","2.09628874882868","-2.16340442783005","3.81463031709113","16.5933467311629","7.30175647136595","4.82278547931649","0.566944540816536","2.44756300204637","-2.19752646590604","2.40365618844285","2.07134857890898","6.52147984507825","7.82166712677619","0.477428929904875","",
"Africa Western and Central","AFW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","3.33614829236798","2.43266332710795","3.01391715577817","2.906177950873","2.75243171318678","4.14307892070862","1.28037535067494","2.03146493895743","4.83856099609652","3.71045521228307","4.18919648768647","5.14581077272575","7.19899600572515","13.4226391288569","8.58677208918515","12.0547725634684","11.043108303528","7.66739154644659","11.1739395324355","11.9782490167997","10.6252870249993","13.8205590460171","9.92793639852341","11.315050030616","5.29721350555086","0.0204677933814637","1.68456342698155","3.40855660018133","3.58485904083881","6.66894186986168","3.0734989661165","0.738816824028547","2.37832182418319","25.0620437520758","7.68083409226116","6.90729366487193","3.66750917412438","5.38736139649049","7.61207819396115","5.2898048599024","4.31995749994334","2.24006068269421","1.718821631066","5.68195133906449","6.6889339475476","4.64332214023653","4.76187830092017","9.18675896155585","1.39621905108423","5.00466529801282","8.78983943597432","4.73009483525227","1.57131002146867","0.280788087859548","1.93491699751122","1.736323129284","1.75917168944196","3.36510112817304","1.58228957609332","1.56736607501134","6.4549131978739","7.42574859019993",
"Angola","AGO","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.1003061669614","0","0.0127635583866379","0.0011881098994877","19.0352057407944","-9.01306191994358","9.8233113499663","2.21377444948736","16.2796626853837","14.0074398272592","106.309982268478","476.51575086326","917.783468411763","2175.97895508759","1825.49514900731","4800.53164415744","95.4530221791129","39.3593483252693","557.501113091215","418.018991534099","106.352125501451","196.984099399931","93.9265669067308","33.4435947971776","42.3742492500337","17.1156651426273","4.30843221994537","19.3657735496208","-16.7621402883828","32.2704691228082","31.7714601558986","7.25574990943825","2.83972412637765","3.56088477205805","-3.51838534598478","21.7743125582849","22.6144365241349","28.1670932554891","19.1870038271785","10.7631052824799","38.8290427555606","16.3009255868007",
"Albania","ALB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.13957198618188","-0.0177190996205354","-0.0167551716364898","-0.0283602576437829","0.35122234783789","-2.41730042881588","-0.000306092920837386","-0.00057857927218663","0.0036791601611128","-0.431368812605911","35.5142469575829","232.984658866956","125.650814219817","35.8424752083078","9.9706626786687","38.1720581994814","11.2396444802125","6.73085990507577","2.10284998886902","5.6474714679938","3.81085737408868","3.6474762708812","5.19863530307683","3.15236892537025","3.30681814689954","2.47818888688769","4.3867093833438","4.11708542559394","2.41833605890835","4.49314320031891","2.31474379699794","1.04271460643407","0.288745964127756","1.54991706986272","0.563991350160876","-0.632653419095547","1.45073158124514","1.47295348748196","1.25702482876329","0.696542442312051","3.45443198973012","9.67962138576193",
"Andorra","AND","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","7.84587099183875","8.51807771346922","11.8494338560781","15.9452012982009","16.7817954074984","16.4898572156615","23.3830925565265","20.6310414051034","16.9316890728162","13.3548138415481","12.3511732151061","13.5823498320276","11.8842352506624","10.8647343748366","8.59546375990811","10.8788152586437","5.94419880985619","5.93612498887575","6.89620714121754","7.32624365834135","6.93514836160884","6.71076896051142","4.53723214675858","3.87985832158631","4.93312104936552","0.797177729321263","2.22816030666122","1.49955384331271","2.73197952535102","28.7415528975991","3.08053517916559","3.23953176987777","3.17748421556476","3.04242399802695","3.39610212995052","3.45718408670396","3.21122734131436","2.27433831984322","0.132136132405464","0.374313758110119","0.196764152031051","0.174556905779482","0.448492200194735","-0.0840193165570753","0.660588959137868","0.347795381575793","1.13650934319639","1.01247848005298","1.37475350829189","1.11378607410401","2.55955652556359","4.21307637714531",
"Arab World","ARB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","1.11297594221125","3.46769842542915","6.56187254978499","2.88672356635449","11.3940363041529","24.3947260867885","5.91402210987908","8.88889261239801","9.79471491224135","8.41721327900058","13.9878379189218","14.8820201167283","11.4107480094767","6.52970585465911","7.2557987701384","6.9812027481691","4.97252640228388","7.26025166616866","8.84202042232293","5.38319482790951","8.70341450565222","14.8265593033849","7.98205133796493","5.71674375897769","4.69134337171741","7.87371705849506","6.67831257293393","5.06481957781118","3.10844199104935","-1.92440064215164","6.62677859775942","10.442344704719","0.694216148703248","3.97074773282308","5.01623968501226","11.0237842199638","15.3553047955353","9.8216053034922","8.34975631461835","16.479240691772","-5.74274652984533","11.7967632618993","14.2896432145202","4.67076795100017","1.50620975539651","0.525241315054771","-2.11493646984442","0.920589534177935","5.25294928217699","7.34105579813065","2.34691235807549","0.408309420933072","12.6957152190563","13.8534151126174",
"United Arab Emirates","ARE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","11.7743313549633","5.25575609125819","-3.66111149544004","7.05102054449354","9.51597603475069","7.05448398235431","1.31286872877227","-3.61801721852343","-6.09746718633876","0.74053288990028","-1.69848529741975","3.68558480261669","2.38104573165367","1.75127660936019","3.33590049399268","0.810848724715441","1.80682611993994","1.27803630532681","-0.262474922298338","3.90747975417074","5.77304390654221","-0.952300705805683","-4.25444532085106","8.44337745491752","11.4595357967841","-2.34930767171667","3.77083954880202","4.072406796076","8.50142205935694","16.5263069319227","11.9621492822572","12.5339606710296","18.5333530817247","-15.1829798840046","12.4901759424146","13.1672193775703","4.67972512096981","-0.949325324877421","-0.668049355690627","-16.2670060257069","-5.52947861264578","4.9862131440172","7.93674803319826","-3.19440940446903","-12.0313053012111","14.2808297048527","13.8534151126174",
"Argentina","ARG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","20.3106975290508","28.8718416496811","25.5911543466798","28.7746173194355","21.2329349264853","25.603462425178","29.0182629355813","10.2753105598205","7.79583003393792","6.46787463920629","31.2710638842292","64.2447859149364","65.535287370144","30.630441370412","197.697364543187","438.322779739816","159.42717769645","161.372172004157","147.377044034473","95.7904246128352","105.276366380064","194.535299663443","380.158528521919","611.196303891913","607.447497830085","77.2922366864133","127.539918059086","381.24634440952","3046.09115201119","2078.31681806978","140.502378661012","16.0719935356945","-3.56109557576575","2.84933971509302","3.16512339016516","-0.0523754965904146","-0.46391313116429","-1.70527962400085","-1.83655839220664","1.03728710073175","-1.09576771833679","30.555204053903","10.4957030215496","18.3633542492033","10.3175111982406","13.7410524859152","14.9399250245835","23.1711649813124","15.3776493708921","20.915124272047","23.7034721839593","22.3148806733049","23.9487984162746","40.2829716315506","26.5799916024707","41.1193799882279","26.0063792819079","42.0336689575031","49.1955790596612","40.0768830264559","54.1524119419346","69.6828609147885",
